Words read 81885
 0.) hash, 6/8 valid (75%)
 1.) aha, 3/4 valid (75%)
 2.) hah, 3/4 valid (75%)
 3.) tit, 3/4 valid (75%)
 4.) maxis, 10/14 valid (71.43%)
 5.) hashes, 12/18 valid (66.67%)
 6.) amid, 6/9 valid (66.67%)
 7.) awed, 6/9 valid (66.67%)
 8.) axis, 6/9 valid (66.67%)
 9.) lash, 6/9 valid (66.67%)
10.) mash, 6/9 valid (66.67%)
11.) maxi, 6/9 valid (66.67%)
12.) hawed, 9/14 valid (64.29%)
13.) pawed, 9/14 valid (64.29%)
14.) taxis, 9/14 valid (64.29%)
15.) yawed, 9/14 valid (64.29%)
16.) lashes, 12/19 valid (63.16%)
17.) mashes, 12/19 valid (63.16%)
18.) spares, 12/19 valid (63.16%)
19.) dado, 5/8 valid (62.5%)
20.) lama, 5/8 valid (62.5%)
21.) lass, 5/8 valid (62.5%)
22.) mass, 5/8 valid (62.5%)
23.) pass, 5/8 valid (62.5%)
24.) shah, 5/8 valid (62.5%)
25.) spas, 5/8 valid (62.5%)
26.) tits, 5/8 valid (62.5%)
27.) ashes, 8/13 valid (61.54%)
28.) dados, 8/13 valid (61.54%)
29.) lamas, 8/13 valid (61.54%)
30.) shits, 8/13 valid (61.54%)
31.) spared, 12/20 valid (60%)
32.) ado, 3/5 valid (60%)
33.) aid, 3/5 valid (60%)
34.) ani, 3/5 valid (60%)
35.) ash, 3/5 valid (60%)
36.) awe, 3/5 valid (60%)
37.) aye, 3/5 valid (60%)
38.) bid, 3/5 valid (60%)
39.) bin, 3/5 valid (60%)
40.) bis, 3/5 valid (60%)
41.) bit, 3/5 valid (60%)
42.) fad, 3/5 valid (60%)
43.) fan, 3/5 valid (60%)
44.) fas, 3/5 valid (60%)
45.) fat, 3/5 valid (60%)
46.) fax, 3/5 valid (60%)
47.) fay, 3/5 valid (60%)
48.) had, 3/5 valid (60%)
49.) ham, 3/5 valid (60%)
50.) has, 3/5 valid (60%)
51.) hat, 3/5 valid (60%)
52.) haw, 3/5 valid (60%)
53.) hay, 3/5 valid (60%)
54.) hid, 3/5 valid (60%)
55.) his, 3/5 valid (60%)
56.) hit, 3/5 valid (60%)
57.) lad, 3/5 valid (60%)
58.) lam, 3/5 valid (60%)
59.) las, 3/5 valid (60%)
60.) law, 3/5 valid (60%)
61.) lax, 3/5 valid (60%)
62.) lay, 3/5 valid (60%)
63.) mad, 3/5 valid (60%)
64.) man, 3/5 valid (60%)
65.) mas, 3/5 valid (60%)
66.) mat, 3/5 valid (60%)
67.) maw, 3/5 valid (60%)
68.) max, 3/5 valid (60%)
69.) may, 3/5 valid (60%)
70.) mid, 3/5 valid (60%)
71.) mis, 3/5 valid (60%)
72.) pad, 3/5 valid (60%)
73.) pan, 3/5 valid (60%)
74.) pas, 3/5 valid (60%)
75.) pat, 3/5 valid (60%)
76.) paw, 3/5 valid (60%)
